Model,R-squared,MSE,MAE
Random Forest,0.9533491811353261,3682803.218505951,1367.3155609756095
Gradient Boosting,0.930798353578499,5463056.220005656,1696.862907033437
Decision Tree,0.855897691975291,11376015.613509487,2200.1422682926827
Support Vector Regressor,-0.10206584376664196,87001508.98107134,5707.013045868977
Linear Regression,-3.165098166788577e+25,2.4986557576512368e+33,3.0899709266986604e+16
